id,SCOREMARGIN,Unnamed: 0,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
51,-16,66,Jump Shot,17.46909205939736,202337.0,Luke Babbitt,27.65785,2.46626,Missed Shot,20151031,570,21500035,Shot Chart Detail,0.0,NOP,10,0,1,4,201939,Stephen Curry,Regular,0,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:4:1:00,GSW
52,-13,67,Jump Shot,31.035456975764028,201583.0,Ryan Anderson,27.22688,26.91575,Missed Shot,20151031,573,21500035,Shot Chart Detail,0.0,NOP,0,41,0,4,201939,Stephen Curry,Regular,34,1,9,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:0:34,GSW
53,3,68,Jump Shot,13.726417090359014,201188.0,Marc Gasol,48.10699,18.46284,Made Shot,20151102,11,21500051,Shot Chart Detail,1.0,GSW,51,31,10,1,201939,Stephen Curry,Regular,36,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:10:36,MEM
54,4,69,Running Jump Shot,1.2981899057533934,201144.0,Mike Conley,18.38279,25.1214,Made Shot,20151102,17,21500051,Shot Chart Detail,1.0,GSW,19,25,9,1,201939,Stephen Curry,Regular,34,1,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500051:1:9:34,MEM
55,1,70,Jump Shot,26.77767593937346,2754.0,Tony Allen,43.87376,43.98044,Missed Shot,20151102,29,21500051,Shot Chart Detail,1.0,GSW,53,19,8,1,201939,Stephen Curry,Regular,5,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:8:05,MEM
56,TIE,71,Jump Shot,17.28951993316472,2754.0,Tony Allen,23.14433,38.33899,Missed Shot,20151102,46,21500051,Shot Chart Detail,1.0,GSW,34,25,6,1,201939,Stephen Curry,Regular,14,1,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:6:14,MEM
57,-3,72,Jump Shot,21.6762816897825,201148.0,Brandan Wright,24.59829,21.95253,Missed Shot,20151102,108,21500051,Shot Chart Detail,1.0,GSW,43,33,0,1,201939,Stephen Curry,Regular,59,1,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:1:0:59,MEM
58,-1,73,Jump Shot,5.093620251746297,203210.0,JaMychal Green,20.29693,23.23889,Missed Shot,20151102,122,21500051,Shot Chart Detail,1.0,GSW,20,18,0,1,201939,Stephen Curry,Regular,6,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:1:0:06,MEM
59,13,74,Jump Shot,9.95346244271309,2754.0,Tony Allen,43.67216,3.2592,Missed Shot,20151102,225,21500051,Shot Chart Detail,1.0,GSW,52,8,2,2,201939,Stephen Curry,Regular,48,1,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:2:2:48,MEM
60,13,75,Floating Jump shot,2.517097938579266,2754.0,Tony Allen,19.19187,27.77039,Made Shot,20151102,236,21500051,Shot Chart Detail,1.0,GSW,19,25,2,2,201939,Stephen Curry,Regular,34,1,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:2:2:34,MEM
61,21,76,Step Back Jump shot,8.642079686603225,2216.0,Zach Randolph,72.48602,36.80177,Made Shot,20151102,289,21500051,Shot Chart Detail,1.0,GSW,75,44,10,3,201939,Stephen Curry,Regular,0,1,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500051:3:10:00,MEM
62,24,77,Step Back Jump shot,6.823381240155058,201144.0,Mike Conley,62.74493,10.7047,Made Shot,20151102,297,21500051,Shot Chart Detail,1.0,GSW,56,8,9,3,201939,Stephen Curry,Regular,5,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500051:3:9:05,MEM
63,29,78,Driving Reverse Layup Shot,6.9608644235899275,201584.0,Courtney Lee,79.14682,4.59092,Missed Shot,20151102,313,21500051,Shot Chart Detail,1.0,GSW,82,10,7,3,201939,Stephen Curry,Regular,49,1,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500051:3:7:49,MEM
